https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,vwap,Volume LINK,Volume EUR,tradecount
1608296400,2020-12-18 13:00:00,LINK/EUR,11.07311,11.14984,10.93000,10.93000,11.06188,7079.35651264,77377.3666831552,95
1608292800,2020-12-18 12:00:00,LINK/EUR,11.17859,11.22294,11.03917,11.11540,11.11470,2538.14230375,28212.466963102746,35
1608289200,2020-12-18 11:00:00,LINK/EUR,11.18272,11.19967,11.07280,11.16220,11.12019,4016.96498565,44838.16656282243,91
1608285600,2020-12-18 10:00:00,LINK/EUR,11.40000,11.40662,11.16745,11.18268,11.21972,6123.10353934,68472.70748730663,132
1608282000,2020-12-18 09:00:00,LINK/EUR,11.27823,11.40000,11.23226,11.40000,11.30413,3370.99214642,38429.310469188,93
1608278400,2020-12-18 08:00:00,LINK/EUR,11.14749,11.32000,11.12915,11.27975,11.25466,3130.69343792,35313.439306378124,78
1608274800,2020-12-18 07:00:00,LINK/EUR,11.04406,11.16504,11.03770,11.15721,11.10256,3481.80815021,38847.26471160451,76
1608271200,2020-12-18 06:00:00,LINK/EUR,11.09868,11.15406,11.04084,11.05502,11.08300,157.78971912,1744.3685006659825,14
1608267600,2020-12-18 05:00:00,LINK/EUR,11.14950,11.16881,11.06128,11.12143,11.12072,1700.31271076,18909.908790827587,42
1608264000,2020-12-18 04:00:00,LINK/EUR,11.19284,11.19284,11.12847,11.14184,11.15597,629.40364511,7012.714709232402,18
1608260400,2020-12-18 03:00:00,LINK/EUR,11.22445,11.40000,11.19001,11.20699,11.34426,2727.23876840,30564.137605071115,45
1608256800,2020-12-18 02:00:00,LINK/EUR,11.05610,11.29847,11.05610,11.25665,11.19806,2590.24829009,29157.5184146416,73
1608253200,2020-12-18 01:00:00,LINK/EUR,10.88156,11.05001,10.88156,11.04570,11.02636,1770.30405968,19554.247552007375,36
1608249600,2020-12-18 00:00:00,LINK/EUR,10.96399,10.99112,10.73909,10.91577,10.84669,16748.70106618,182824.96863717568,192
1608246000,2020-12-17 23:00:00,LINK/EUR,11.10987,11.10987,10.92000,10.97734,10.98369,6154.12348445,67555.90589079236,97
1608242400,2020-12-17 22:00:00,LINK/EUR,11.06763,11.16116,11.06763,11.10394,11.11628,4259.43456080,47296.505797049555,80
1608238800,2020-12-17 21:00:00,LINK/EUR,11.01307,11.06058,10.82644,11.06000,10.94622,22864.02511079,252876.11772533742,269
1608235200,2020-12-17 20:00:00,LINK/EUR,11.07941,11.19896,10.85000,10.98927,10.99501,18684.57566335,205329.84679998222,304
1608231600,2020-12-17 19:00:00,LINK/EUR,11.28650,11.28650,11.03960,11.09114,11.18724,18388.10321285,203945.02706816915,302
1608228000,2020-12-17 18:00:00,LINK/EUR,11.22345,11.39703,10.87012,11.32561,11.07610,104031.05534232,1178215.1606955328,927
1608224400,2020-12-17 17:00:00,LINK/EUR,11.65201,11.67023,11.22345,11.22345,11.55226,16478.98881879,184951.10705824863,265
1608220800,2020-12-17 16:00:00,LINK/EUR,11.58831,11.80000,11.53789,11.66448,11.70702,47915.61032950,558910.6783762461,664
1608217200,2020-12-17 15:00:00,LINK/EUR,11.39529,11.55855,11.36167,11.53276,11.46366,6494.21030250,74896.1688082599,163
