https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,vwap,Volume ETH,Volume EUR,tradecount
1608134400,2020-12-16 16:00:00,ETH/EUR,508.94,516.60,508.94,516.56,513.20,8818.79459854,4555436.537821822,2260
1608130800,2020-12-16 15:00:00,ETH/EUR,509.00,509.96,506.01,508.96,507.94,4245.01317691,2160541.9065201133,1457
1608127200,2020-12-16 14:00:00,ETH/EUR,500.00,512.93,498.89,508.81,506.75,12824.11411948,6525037.505132619,4377
1608123600,2020-12-16 13:00:00,ETH/EUR,486.96,500.00,486.94,500.00,493.51,6562.52472374,3281262.36187,2638
1608120000,2020-12-16 12:00:00,ETH/EUR,487.00,491.16,485.46,486.89,488.83,5232.12744861,2547470.533453723,1250
1608116400,2020-12-16 11:00:00,ETH/EUR,488.30,489.60,486.00,486.97,487.63,2254.52809367,1097887.54577448,788
1608112800,2020-12-16 10:00:00,ETH/EUR,482.65,488.32,482.57,488.32,486.15,3134.56320776,1530669.905613363,902
1608109200,2020-12-16 09:00:00,ETH/EUR,482.06,482.64,480.65,482.64,481.77,493.94398213,238397.1235352232,321
1608105600,2020-12-16 08:00:00,ETH/EUR,481.45,482.06,480.15,482.05,480.99,1021.76260834,492540.66535029706,381
1608102000,2020-12-16 07:00:00,ETH/EUR,482.27,482.62,481.10,481.39,481.72,609.11937179,293223.9743859881,249
1608098400,2020-12-16 06:00:00,ETH/EUR,480.70,482.49,480.20,482.34,481.49,241.63215885,116548.855499709,177
1608094800,2020-12-16 05:00:00,ETH/EUR,479.88,481.72,479.79,480.64,480.82,264.96163994,127351.16262076159,166
1608091200,2020-12-16 04:00:00,ETH/EUR,480.07,480.68,478.53,480.24,479.32,139.35478376,66923.7413529024,139
1608087600,2020-12-16 03:00:00,ETH/EUR,482.36,482.41,480.18,480.54,481.62,155.05587987,74510.5525127298,72
1608084000,2020-12-16 02:00:00,ETH/EUR,480.99,482.42,480.98,482.36,481.90,186.80944290,90109.40287724399,130
1608080400,2020-12-16 01:00:00,ETH/EUR,481.91,482.05,479.24,480.82,480.61,504.38914841,242520.39033849622,218
1608076800,2020-12-16 00:00:00,ETH/EUR,484.69,484.99,480.40,481.89,481.93,338.28683345,163017.0421712205,223
