https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,vwap,Volume ADA,Volume EUR,tradecount
1608375600,2020-12-19 11:00:00,ADA/EUR,0.137501,0.137700,0.136600,0.136835,0.137029,249671.24160556,34163.76434509681,86
1608372000,2020-12-19 10:00:00,ADA/EUR,0.136227,0.137574,0.136227,0.137256,0.137013,819007.95455484,112413.75581037911,111
1608368400,2020-12-19 09:00:00,ADA/EUR,0.136802,0.137072,0.136042,0.136227,0.136647,103800.20984257,14140.391186223782,98
1608364800,2020-12-19 08:00:00,ADA/EUR,0.135690,0.136649,0.135477,0.136508,0.135862,419952.04413769,57326.81364114778,135
1608361200,2020-12-19 07:00:00,ADA/EUR,0.134858,0.135989,0.134858,0.135690,0.135777,233782.90748045,31722.00271602226,34
1608357600,2020-12-19 06:00:00,ADA/EUR,0.135701,0.135893,0.135083,0.135083,0.135268,203029.51637713,27425.836160771854,31
1608354000,2020-12-19 05:00:00,ADA/EUR,0.136320,0.136359,0.135320,0.136131,0.135980,83375.88566205,11350.04269106053,57
1608350400,2020-12-19 04:00:00,ADA/EUR,0.135281,0.136353,0.134992,0.136303,0.136024,198026.50596647,26991.606842747762,45
1608346800,2020-12-19 03:00:00,ADA/EUR,0.134438,0.135426,0.134347,0.135426,0.134681,218957.78833317,29652.577442807877,49
1608343200,2020-12-19 02:00:00,ADA/EUR,0.133669,0.134438,0.133559,0.134438,0.133684,30071.76590516,4042.7880647579,24
1608339600,2020-12-19 01:00:00,ADA/EUR,0.133602,0.134315,0.133000,0.133855,0.133475,72954.46022140,9765.319272935498,40
1608336000,2020-12-19 00:00:00,ADA/EUR,0.134758,0.134759,0.133508,0.133648,0.134017,31939.49991882,4268.650285150456,46
1608332400,2020-12-18 23:00:00,ADA/EUR,0.134401,0.134657,0.133648,0.134657,0.134186,187778.96126654,25285.751587268474,58
1608328800,2020-12-18 22:00:00,ADA/EUR,0.133753,0.134810,0.133077,0.134810,0.134134,338430.70876233,45623.843848249715,117
1608325200,2020-12-18 21:00:00,ADA/EUR,0.133000,0.135271,0.132953,0.133792,0.134326,783907.29086320,104880.52425916925,264
1608321600,2020-12-18 20:00:00,ADA/EUR,0.132791,0.133019,0.131743,0.132828,0.132571,166107.33566558,22063.70518178766,59
1608318000,2020-12-18 19:00:00,ADA/EUR,0.133234,0.133290,0.132212,0.132669,0.132962,651874.20387769,86483.49875424926,103
1608314400,2020-12-18 18:00:00,ADA/EUR,0.133517,0.133640,0.132798,0.133401,0.133162,292793.71046187,39058.97376932392,120
1608310800,2020-12-18 17:00:00,ADA/EUR,0.132459,0.133710,0.132347,0.133536,0.133119,302770.48143919,40430.75900946367,116
1608307200,2020-12-18 16:00:00,ADA/EUR,0.131217,0.132612,0.130500,0.132459,0.131857,721768.65971901,95604.75489772034,115
1608303600,2020-12-18 15:00:00,ADA/EUR,0.132381,0.132381,0.130843,0.131858,0.131490,363024.82428336,47867.727280355284,169
1608300000,2020-12-18 14:00:00,ADA/EUR,0.133107,0.133711,0.130500,0.132403,0.131668,1196115.73265920,158369.31135127603,363
1608296400,2020-12-18 13:00:00,ADA/EUR,0.135823,0.136123,0.132970,0.132970,0.134262,268340.34019403,35681.21503560017,107
1608292800,2020-12-18 12:00:00,ADA/EUR,0.135996,0.136413,0.134891,0.135896,0.135743,467312.47811513,63505.8965259337,118
1608289200,2020-12-18 11:00:00,ADA/EUR,0.136300,0.136300,0.134952,0.135803,0.135566,439958.06173021,59747.62465714772,183
1608285600,2020-12-18 10:00:00,ADA/EUR,0.137907,0.138051,0.135902,0.136300,0.137232,614215.34137408,83717.55102928712,177
1608282000,2020-12-18 09:00:00,ADA/EUR,0.137119,0.137703,0.136340,0.137703,0.137271,1373516.14025267,189137.29306121342,201
1608278400,2020-12-18 08:00:00,ADA/EUR,0.136218,0.137972,0.135787,0.137218,0.137058,394955.15669917,54194.95669194671,183
1608274800,2020-12-18 07:00:00,ADA/EUR,0.135021,0.135804,0.134938,0.135804,0.135240,114659.11376950,15571.16628635318,55
1608271200,2020-12-18 06:00:00,ADA/EUR,0.136708,0.137200,0.135172,0.135172,0.136198,204131.04344064,27592.801403958187,75
1608267600,2020-12-18 05:00:00,ADA/EUR,0.135044,0.136600,0.134980,0.136556,0.135985,153875.77824979,21012.660774678323,65
1608264000,2020-12-18 04:00:00,ADA/EUR,0.135041,0.135582,0.134103,0.134861,0.135047,215401.33487873,29049.23942308041,57
1608260400,2020-12-18 03:00:00,ADA/EUR,0.134601,0.135532,0.134290,0.135110,0.134615,63403.10331134,8566.393288395147,36
1608256800,2020-12-18 02:00:00,ADA/EUR,0.132916,0.136100,0.132916,0.135035,0.134715,249298.10515318,33663.96962935966,117
1608253200,2020-12-18 01:00:00,ADA/EUR,0.131002,0.134098,0.130878,0.133072,0.132654,196850.75985811,26195.32431583841,69
1608249600,2020-12-18 00:00:00,ADA/EUR,0.133171,0.133469,0.129200,0.131156,0.131110,431802.01265409,56633.424771659826,185
1608246000,2020-12-17 23:00:00,ADA/EUR,0.134420,0.134420,0.132000,0.133271,0.132978,293625.43710961,39131.75562903484,105
1608242400,2020-12-17 22:00:00,ADA/EUR,0.133778,0.134999,0.133687,0.134135,0.134259,907089.62791175,121672.46723994259,153
1608238800,2020-12-17 21:00:00,ADA/EUR,0.133654,0.134113,0.130686,0.133570,0.132361,2370185.58205540,316585.6881951398,452
1608235200,2020-12-17 20:00:00,ADA/EUR,0.135001,0.135862,0.131575,0.133698,0.133851,2378062.45344185,317942.19390026847,571
1608231600,2020-12-17 19:00:00,ADA/EUR,0.137000,0.138347,0.132036,0.134978,0.134688,2509509.64247008,338728.59252132644,426
1608228000,2020-12-17 18:00:00,ADA/EUR,0.136237,0.139000,0.128636,0.137380,0.134427,4995185.14634560,686238.5354049585,1037
1608224400,2020-12-17 17:00:00,ADA/EUR,0.142500,0.142674,0.135930,0.136333,0.140857,3121448.03838843,425556.3754176099,654
1608220800,2020-12-17 16:00:00,ADA/EUR,0.139285,0.143624,0.138690,0.142439,0.141169,3163759.39347979,450642.7242478678,730
1608217200,2020-12-17 15:00:00,ADA/EUR,0.139072,0.139567,0.138085,0.139016,0.139010,1176565.73302689,163561.46194246615,223
1608213600,2020-12-17 14:00:00,ADA/EUR,0.137420,0.139711,0.137180,0.139003,0.138943,380952.19023078,52953.497298649105,196
1608210000,2020-12-17 13:00:00,ADA/EUR,0.138800,0.139863,0.137397,0.138146,0.138437,1495053.95469294,206535.72362501087,392
1608206400,2020-12-17 12:00:00,ADA/EUR,0.138499,0.139189,0.137621,0.138877,0.138484,622505.30570042,86451.66933975724,218
1608202800,2020-12-17 11:00:00,ADA/EUR,0.141000,0.141003,0.137093,0.138463,0.138917,1499928.61453604,207684.6157545037,440
1608199200,2020-12-17 10:00:00,ADA/EUR,0.133773,0.141564,0.133709,0.140777,0.139433,3939270.14014608,554558.6325193448,981
1608195600,2020-12-17 09:00:00,ADA/EUR,0.136500,0.136500,0.131174,0.133685,0.133964,2499516.91837643,334147.91923315305,834
1608192000,2020-12-17 08:00:00,ADA/EUR,0.136721,0.137428,0.136284,0.136537,0.136807,930771.71260405,127084.77732381916,273
1608188400,2020-12-17 07:00:00,ADA/EUR,0.136533,0.137328,0.136260,0.136640,0.136926,571461.81641963,78084.54259557824,169
1608184800,2020-12-17 06:00:00,ADA/EUR,0.136829,0.137822,0.135808,0.136534,0.136737,1655426.32026049,226021.97721044574,178
1608181200,2020-12-17 05:00:00,ADA/EUR,0.135905,0.137000,0.135905,0.137000,0.136309,292875.66717189,40123.96640254893,85
1608177600,2020-12-17 04:00:00,ADA/EUR,0.135605,0.136388,0.135605,0.135825,0.136022,58414.46893638,7934.145243283813,57
1608174000,2020-12-17 03:00:00,ADA/EUR,0.138056,0.138587,0.135369,0.135987,0.136300,476140.65961137,64748.93987857137,176
1608170400,2020-12-17 02:00:00,ADA/EUR,0.138011,0.138323,0.137654,0.138143,0.137886,280561.49105616,38757.60605897111,136
1608166800,2020-12-17 01:00:00,ADA/EUR,0.137800,0.139130,0.137000,0.137986,0.137637,323096.97788017,44582.859589773136,92
1608163200,2020-12-17 00:00:00,ADA/EUR,0.137813,0.139914,0.136400,0.137793,0.138922,655509.10711852,90324.56639718222,291
1608159600,2020-12-16 23:00:00,ADA/EUR,0.136809,0.137895,0.135126,0.137895,0.136225,1216779.02704429,167787.74393427235,291
1608156000,2020-12-16 22:00:00,ADA/EUR,0.135899,0.136950,0.135899,0.136937,0.136506,544154.80804825,74514.92694970322,200
1608152400,2020-12-16 21:00:00,ADA/EUR,0.136124,0.136914,0.135038,0.136300,0.136028,1016897.77304027,138603.16646538881,239
1608148800,2020-12-16 20:00:00,ADA/EUR,0.134405,0.136340,0.134388,0.136285,0.135825,757805.74816431,103277.55638857298,296
1608145200,2020-12-16 19:00:00,ADA/EUR,0.133738,0.134811,0.133613,0.134464,0.134109,675648.68890284,90850.42530463148,204
1608141600,2020-12-16 18:00:00,ADA/EUR,0.133071,0.134135,0.132747,0.133581,0.133312,991890.07079184,132497.66754644478,231
1608138000,2020-12-16 17:00:00,ADA/EUR,0.134478,0.135008,0.132240,0.133060,0.133313,1200003.48390878,159672.46356890228,402
